customer_id,wave,segment,region_group,recency_days,orders_180d,margin_180d,churn_risk,recommended_action,predicted_net_gain_reminder,predicted_net_gain_voucher,predicted_net_gain_service_call
SYN-000005,20,Loyal,Metro,32.679315919340894,6.0,229.24835803711682,0.6569804581530176,control,2.399372973268413,-5.34545888483553,-5.352448243147904
SYN-000011,23,Loyal,Metro,1.9113257426388373,2.0,107.08945611862593,0.6495071380604847,control,0.814447085837191,-6.712111437374967,-5.516735345530549
SYN-000018,20,Loyal,Other,12.634176945020538,3.0,102.87997388031995,0.61815116543245,control,1.082024066389824,-3.672161799145858,-5.541986145113125
SYN-000023,22,Loyal,Other,25.345000544906007,6.0,159.76136420785346,0.5679530800449215,control,1.236039121582273,-6.295992849687142,-5.441534276804067
SYN-000034,21,Growing,Large City,2.0598248858045363,3.0,116.40725939639597,0.4813514648275281,reminder,5.160891605480359,-7.6186245444489025,-5.528386744901034
SYN-000036,20,At Risk,Large City,68.79624591838855,1.0,43.29231488012415,0.8564879042107503,control,1.7466919975575337,-8.207622885633956,-4.142328067254509
SYN-000045,23,New,Metro,44.02163897282634,2.0,61.937575757131405,0.7843141134660507,control,0.5487306473587452,-6.136752024624144,-7.7143411768402
SYN-000047,21,Growing,Large City,13.071424287592446,3.0,88.23696136300426,0.6531175624717577,reminder,3.0828262862895066,0.20073817142852945,-7.991987744091263
SYN-000060,22,At Risk,Other,74.34178708799317,2.0,98.25333091630435,0.9546136016794622,control,-3.3864612474552,-6.948935346587499,-5.271976846994413
SYN-000063,23,At Risk,Other,42.772809906471906,3.0,204.1794568508835,0.6844038042663335,voucher,3.7072976647647877,1.5877209432301669,-0.6480703493019142
SYN-000066,21,Growing,Large City,1.0,5.0,292.8637605418847,0.4251013645769011,reminder,6.2208173948978,-5.34395098063262,-2.2977229563181467
SYN-000080,22,Growing,Metro,44.16005867956967,3.0,100.60761851825686,0.6715228083019263,reminder,3.433982195912389,-9.56880165302685,-6.1622080679258175
SYN-000092,20,New,Other,30.488133483006926,1.0,30.029903569770422,0.6056792998538595,control,1.8848621070097042,-7.996960594487277,-6.587276695256336
SYN-000094,21,Growing,Large City,18.815552581690014,5.0,128.06628345054406,0.5593447642862927,reminder,3.284442491341938,-4.291779879009365,-7.5652214806722675
SYN-000124,20,At Risk,Metro,52.62701537762886,0.0,9.409170886290084,0.8980727834713002,control,-1.8560421433538572,-4.2223936178514965,-6.255617124191431
SYN-000140,23,Growing,Other,70.08065989793474,2.0,54.436147990015215,0.8225315128944692,control,1.412089590107314,-4.129604879543052,-7.640939067457365
SYN-000144,23,New,Other,35.4516357534086,1.0,45.444521049862374,0.8138308069352523,control,-0.888697731901054,-6.8905765848372695,-7.287855228506075
SYN-000145,20,Loyal,Metro,23.572663541088545,6.0,222.10094685691809,0.7040297940655601,voucher,2.204352300310383,1.22513162775045,-3.123124628107238
SYN-000150,20,Growing,Metro,68.65373930796116,6.0,205.09849902876775,0.7456760375870214,control,1.6381123617831186,-0.992153974977807,-7.618557565116202
SYN-000152,22,Loyal,Large City,25.922218097222952,0.0,8.0,0.8005527004695613,control,-2.327696871366747,-8.960700611036541,-9.22695824147518
SYN-000160,23,Growing,Metro,3.5653075517595045,3.0,88.9052758735378,0.4602154959533389,reminder,3.6744304561578787,-5.908027539666854,-7.452179114761655
SYN-000178,21,Loyal,Large City,35.844344134867185,5.0,118.65183854932971,0.6813749486266844,control,2.198256686187886,-6.219141294224798,-6.649920471818058
SYN-000180,22,Growing,Metro,1.0,3.0,65.66300460120006,0.6072590192558059,control,2.5427662457132634,-4.72941888450554,-6.461595178209244
SYN-000194,23,Loyal,Metro,1.0,5.0,80.92106011085411,0.47556870642230353,control,0.16118717604204846,-11.082704444146785,-8.922413870577184
SYN-000199,23,Loyal,Metro,18.938936824446852,5.0,182.5374696477207,0.6426916805818216,control,1.2417355452070638,-3.7993043044522423,-2.2125434662003585
SYN-000201,21,At Risk,Large City,47.77965479123635,1.0,63.356875658706,0.8816329251414584,control,0.46377763952157736,-6.091309166172488,-2.047432799514313
SYN-000207,23,Growing,Metro,42.598250510584606,2.0,107.76995179342384,0.7777288044904659,control,2.317734435765118,-8.924999691674998,-4.40144761480556
SYN-000219,21,New,Large City,8.730021377555861,3.0,140.4393086791748,0.7234883182424383,reminder,4.37726732876278,-2.341645719170497,-0.867517305851095
SYN-000231,20,At Risk,Metro,45.153326490143996,4.0,139.59251869609452,0.8062246835419787,control,-1.5712135979137223,-5.385220928247328,-3.0016151612246382
SYN-000263,22,At Risk,Metro,57.17859546903059,3.0,76.09915458289348,0.8494598337402243,control,0.23585766346676706,-7.2826465641884965,-5.9781528549053915
