customer_id,wave,segment,region_group,recency_days,orders_180d,margin_180d,churn_risk,recommended_action,predicted_net_gain_reminder,predicted_net_gain_voucher,predicted_net_gain_service_call
SYN-000005,20,Loyal,Metro,32.6793159193,6,229.248358037,0.656980458153,control,2.39937297327,-5.34545888484,-5.35244824315
SYN-000011,23,Loyal,Metro,1.91132574264,2,107.089456119,0.64950713806,control,0.814447085837,-6.71211143737,-5.51673534553
SYN-000018,20,Loyal,Other,12.634176945,3,102.87997388,0.618151165432,control,1.08202406639,-3.67216179915,-5.54198614511
SYN-000023,22,Loyal,Other,25.3450005449,6,159.761364208,0.567953080045,control,1.23603912158,-6.29599284969,-5.4415342768
SYN-000034,21,Growing,Large City,2.0598248858,3,116.407259396,0.481351464828,reminder,5.16089160548,-7.61862454445,-5.5283867449
SYN-000036,20,At Risk,Large City,68.7962459184,1,43.2923148801,0.856487904211,control,1.74669199756,-8.20762288563,-4.14232806725
SYN-000045,23,New,Metro,44.0216389728,2,61.9375757571,0.784314113466,control,0.548730647359,-6.13675202462,-7.71434117684
SYN-000047,21,Growing,Large City,13.0714242876,3,88.236961363,0.653117562472,reminder,3.08282628629,0.200738171429,-7.99198774409
SYN-000060,22,At Risk,Other,74.341787088,2,98.2533309163,0.954613601679,control,-3.38646124746,-6.94893534659,-5.27197684699
SYN-000063,23,At Risk,Other,42.7728099065,3,204.179456851,0.684403804266,voucher,3.70729766476,1.58772094323,-0.648070349302
SYN-000066,21,Growing,Large City,1,5,292.863760542,0.425101364577,reminder,6.2208173949,-5.34395098063,-2.29772295632
SYN-000080,22,Growing,Metro,44.1600586796,3,100.607618518,0.671522808302,reminder,3.43398219591,-9.56880165303,-6.16220806793
SYN-000092,20,New,Other,30.488133483,1,30.0299035698,0.605679299854,control,1.88486210701,-7.99696059449,-6.58727669526
SYN-000094,21,Growing,Large City,18.8155525817,5,128.066283451,0.559344764286,reminder,3.28444249134,-4.29177987901,-7.56522148067
SYN-000124,20,At Risk,Metro,52.6270153776,0,9.40917088629,0.898072783471,control,-1.85604214335,-4.22239361785,-6.25561712419
SYN-000140,23,Growing,Other,70.0806598979,2,54.43614799,0.822531512894,control,1.41208959011,-4.12960487954,-7.64093906746
SYN-000144,23,New,Other,35.4516357534,1,45.4445210499,0.813830806935,control,-0.888697731901,-6.89057658484,-7.28785522851
SYN-000145,20,Loyal,Metro,23.5726635411,6,222.100946857,0.704029794066,voucher,2.20435230031,1.22513162775,-3.12312462811
SYN-000150,20,Growing,Metro,68.653739308,6,205.098499029,0.745676037587,control,1.63811236178,-0.992153974978,-7.61855756512
SYN-000152,22,Loyal,Large City,25.9222180972,0,8,0.80055270047,control,-2.32769687137,-8.96070061104,-9.22695824148
SYN-000160,23,Growing,Metro,3.56530755176,3,88.9052758735,0.460215495953,reminder,3.67443045616,-5.90802753967,-7.45217911476
SYN-000178,21,Loyal,Large City,35.8443441349,5,118.651838549,0.681374948627,control,2.19825668619,-6.21914129422,-6.64992047182
SYN-000180,22,Growing,Metro,1,3,65.6630046012,0.607259019256,control,2.54276624571,-4.72941888451,-6.46159517821
SYN-000194,23,Loyal,Metro,1,5,80.9210601109,0.475568706422,control,0.161187176042,-11.0827044441,-8.92241387058
SYN-000199,23,Loyal,Metro,18.9389368244,5,182.537469648,0.642691680582,control,1.24173554521,-3.79930430445,-2.2125434662
SYN-000201,21,At Risk,Large City,47.7796547912,1,63.3568756587,0.881632925141,control,0.463777639522,-6.09130916617,-2.04743279951
SYN-000207,23,Growing,Metro,42.5982505106,2,107.769951793,0.77772880449,control,2.31773443577,-8.92499969167,-4.40144761481
SYN-000219,21,New,Large City,8.73002137756,3,140.439308679,0.723488318242,reminder,4.37726732876,-2.34164571917,-0.867517305851
SYN-000231,20,At Risk,Metro,45.1533264901,4,139.592518696,0.806224683542,control,-1.57121359791,-5.38522092825,-3.00161516122
SYN-000263,22,At Risk,Metro,57.178595469,3,76.0991545829,0.84945983374,control,0.235857663467,-7.28264656419,-5.97815285491
