budget_multiplier,capacity_multiplier,budget_ceiling,constraints_pass,policy,dr_incremental_value,dr_value_per_customer,ci_low,ci_high,true_incremental_value,treatment_cost,treated_customers,n_control,n_reminder,n_voucher,n_service_call
0.6,0.7,618.03,True,Causal optimizer,2225.14536327,0.756080653507,672.505913024,3777.78481352,2235.03230625,612.5,498,2445,453,29,16
0.6,0.7,618.03,True,Risk-only,173.089846773,0.0588140831713,-1446.8769375,1793.05663105,1177.37538552,226.5,453,2490,453,0,0
0.6,0.7,618.03,True,Greedy uplift rank,2109.39096652,0.716748544521,549.509016084,3669.27291697,2151.51633691,448.5,478,2465,453,18,7
0.6,1,618.03,True,Causal optimizer,2577.63366866,0.875852418845,756.128864037,4399.13847328,2796.04076269,617.5,682,2261,647,21,14
0.6,1,618.03,True,Risk-only,303.175206029,0.103015700316,-1543.56205549,2149.91246754,1628.80060982,323.5,647,2296,647,0,0
0.6,1,618.03,True,Greedy uplift rank,2503.78920278,0.850760857215,676.955431715,4330.62297385,2736.83529984,545.5,672,2271,647,18,7
0.6,1.3,618.03,True,Causal optimizer,2718.90861771,0.923856139215,735.138407593,4702.67882783,3277.69939221,610.5,864,2079,841,13,10
0.6,1.3,618.03,True,Risk-only,48.260023849,0.0163982411991,-1995.83145046,2092.35149815,2036.03557073,420.5,841,2102,841,0,0
0.6,1.3,618.03,True,Greedy uplift rank,2549.32883322,0.866234737756,528.040311949,4570.61735448,3246.3210698,616.5,863,2080,841,16,6
1,0.7,1030.05,True,Causal optimizer,2563.40783387,0.871018631965,925.469446933,4201.34622081,2304.18416513,1020.5,542,2401,453,65,24
1,0.7,1030.05,True,Risk-only,173.089846773,0.0588140831713,-1446.8769375,1793.05663105,1177.37538552,226.5,453,2490,453,0,0
1,0.7,1030.05,True,Greedy uplift rank,2109.39096652,0.716748544521,549.509016084,3669.27291697,2151.51633691,448.5,478,2465,453,18,7
1,1,1030.05,True,Causal optimizer,2290.95134319,0.778440823373,404.764196298,4177.13849008,2869.50289775,1027.5,727,2216,647,56,24
1,1,1030.05,True,Risk-only,303.175206029,0.103015700316,-1543.56205549,2149.91246754,1628.80060982,323.5,647,2296,647,0,0
1,1,1030.05,True,Greedy uplift rank,2503.78920278,0.850760857215,676.955431715,4330.62297385,2736.83529984,545.5,672,2271,647,18,7
1,1.3,1030.05,True,Causal optimizer,2392.82806455,0.813057446332,341.659427947,4443.99670116,3366.9241991,1028,910,2033,840,47,23
1,1.3,1030.05,True,Risk-only,48.260023849,0.0163982411991,-1995.83145046,2092.35149815,2036.03557073,420.5,841,2102,841,0,0
1,1.3,1030.05,True,Greedy uplift rank,2453.72317215,0.83374895418,428.217451969,4479.22889234,3245.76491196,642.5,866,2077,841,18,7
1.4,0.7,1442.07,True,Causal optimizer,2389.46613313,0.811915097903,734.170452461,4044.7618138,2326.13955266,1134.5,555,2388,453,74,28
1.4,0.7,1442.07,True,Risk-only,173.089846773,0.0588140831713,-1446.8769375,1793.05663105,1177.37538552,226.5,453,2490,453,0,0
1.4,0.7,1442.07,True,Greedy uplift rank,2109.39096652,0.716748544521,549.509016084,3669.27291697,2151.51633691,448.5,478,2465,453,18,7
1.4,1,1442.07,True,Causal optimizer,2235.95856313,0.75975486345,346.131166132,4125.78596014,2889.93667083,1133.5,738,2205,647,66,25
1.4,1,1442.07,True,Risk-only,303.175206029,0.103015700316,-1543.56205549,2149.91246754,1628.80060982,323.5,647,2296,647,0,0
1.4,1,1442.07,True,Greedy uplift rank,2503.78920278,0.850760857215,676.955431715,4330.62297385,2736.83529984,545.5,672,2271,647,18,7
1.4,1.3,1442.07,True,Causal optimizer,2498.11074906,0.848831379227,432.706288886,4563.51520924,3387.04913951,1114.5,920,2023,841,55,24
1.4,1.3,1442.07,True,Risk-only,48.260023849,0.0163982411991,-1995.83145046,2092.35149815,2036.03557073,420.5,841,2102,841,0,0
1.4,1.3,1442.07,True,Greedy uplift rank,2453.72317215,0.83374895418,428.217451969,4479.22889234,3245.76491196,642.5,866,2077,841,18,7
