action,bin,predicted_gain,observed_ipw_gain,customers
reminder,1,-2.26010216432,-0.268939771356,295
reminder,2,-1.00952063898,-3.68083440702,294
reminder,3,-0.272534499681,-1.97242847117,294
reminder,4,0.288070622,0.894061285094,294
reminder,5,0.834817742999,-6.32176958444,295
reminder,6,1.37049933584,-2.02617912686,294
reminder,7,1.92205382653,-0.279739872097,294
reminder,8,2.52717759371,1.65808887106,294
reminder,9,3.30416229415,3.02595798785,294
reminder,10,4.76125487656,0.855732711038,295
voucher,1,-10.2675189846,-10.7047026553,295
voucher,2,-8.68818562432,-12.1318203932,294
voucher,3,-7.67315364671,-6.81281238673,294
voucher,4,-6.83137719439,-8.17959107902,294
voucher,5,-6.08227585872,-5.38853239006,295
voucher,6,-5.32825324534,-3.87131246724,294
voucher,7,-4.56820021974,-8.51219530539,294
voucher,8,-3.73525876214,-3.62000805385,294
voucher,9,-2.63787023557,-3.93320787313,294
voucher,10,-0.339457075435,-7.98811545584,295
service_call,1,-8.52330124949,-7.36795711831,295
service_call,2,-7.52981378801,-13.3927740102,294
service_call,3,-6.88181758847,-3.31081724066,294
service_call,4,-6.33119900633,-4.57352044514,294
service_call,5,-5.81450810062,-9.03331549652,295
service_call,6,-5.24196619093,-7.73907605708,294
service_call,7,-4.64923258223,-2.23672221476,294
service_call,8,-4.01992463398,-7.52637509162,294
service_call,9,-3.14995335107,-5.5136729273,294
service_call,10,-1.19681752777,-2.50887438094,295
